タイムスタンプ,あなたの性別はなんですか？,年齢は幾つですか？,あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [活発で，外交的だと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [他人に不満をもち，もめごとを起こしやすいと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [しっかりしていて，自分に厳しいと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [心配性で，うろたえやすいと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [新しいことが好きで，変わった考えを持つと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [ひかえめで，おとなしいと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [人に気をつかう，やさしい人間だと思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [だらしなく，うっかりしていると思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [冷静で，気分が安定していると思う],あなたの性格について，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [発想力に欠けた，平凡な人間だと思う],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [おしゃれであると感じる],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を手軽にできると思う],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を自分のコミュニティの範囲を超えて届けられると思う],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [リアルタイムの情報を投稿しやすいと思う],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を特定のコミュニティに届けやすいと思う],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [身分を特定されずに投稿をできると思う],Facebookついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [現実とは異なる自分を表現できると思うか],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [おしゃれであると感じる],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を手軽にできると思う],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を自分のコミュニティの範囲を超えて届けられると思う],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [リアルタイムの情報を投稿しやすいと思う],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を特定のコミュニティに届けやすいと思う],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [身分を特定されずに投稿をできると思う],Twitterついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [現実とは異なる自分を表現できると思うか],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [おしゃれであると感じる],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を手軽にできると思う],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を自分のコミュニティの範囲を超えて届けられると思う],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [リアルタイムの情報を投稿しやすいと思う],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [投稿を特定のコミュニティに届けやすいと思う],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [身分を特定されずに投稿をできると思う],Instagramついて，以下の項目に当てはまる度合いを１〜５点の間で答えてください．（１が度合いが低く，５が高い） [現実とは異なる自分を表現できると思うか],あなたは今以下のSNSを使用していますか？ [Facebook],あなたは今以下のSNSを使用していますか？ [Twitter],あなたは今以下のSNSを使用していますか？ [Instagram],あなたが以下のSNSを好む度合いを１〜５点の間で答えてください．(ただし，異なるSNSに同じ得点を与えてはならない)（１が度合いが低く，５が高い） [Facebook],あなたが以下のSNSを好む度合いを１〜５点の間で答えてください．(ただし，異なるSNSに同じ得点を与えてはならない)（１が度合いが低く，５が高い） [Twitter],あなたが以下のSNSを好む度合いを１〜５点の間で答えてください．(ただし，異なるSNSに同じ得点を与えてはならない)（１が度合いが低く，５が高い） [Instagram]
6/16/2017 16:44:36,女,20代,4,4,2,3,3,3,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,使用していない,使用していない,使用していない,3,5,4
6/16/2017 20:11:19,女,20代,3,3,1,4,3,3,3,2,2,1,3,2,2,3,3,3,2,3,4,3,4,4,3,3,4,3,3,3,3,3,3,使用している,使用している,使用している,4,2,3
6/16/2017 23:22:49,男,20代,1,2,3,5,4,4,3,4,4,3,1,3,5,3,3,1,4,1,3,4,5,5,1,4,2,3,5,4,3,1,4,使用していない,使用している,使用していない,1,2,1
6/17/2017 1:00:07,男,20代,3,4,2,5,4,3,4,5,3,3,1,1,5,2,4,1,1,1,5,5,5,5,3,5,5,3,5,3,5,3,5,使用していない,使用している,使用していない,1,3,2
6/17/2017 1:03:26,女,10代,4,2,2,4,3,2,3,4,4,3,3,3,3,3,3,3,3,2,4,3,4,2,2,3,4,2,3,2,2,2,2,使用していない,使用している,使用していない,2,4,3
6/17/2017 1:31:55,男,20代,4,3,3,2,4,2,3,2,4,2,4,2,3,2,3,1,1,2,4,4,4,2,4,4,5,5,3,3,3,3,2,使用している,使用している,使用している,3,3,4
6/17/2017 2:20:40,女,20代,4,4,2,4,1,1,1,4,2,3,2,1,2,1,5,1,1,1,5,5,5,4,4,5,5,5,4,4,4,5,5,使用している,使用している,使用している,1,4,5
6/17/2017 8:27:01,女,20代,4,2,2,4,3,3,4,2,3,3,3,1,1,1,3,1,1,1,5,5,5,2,4,4,5,2,1,2,2,1,4,使用していない,使用している,使用している,1,5,3
6/17/2017 8:42:19,女,10代,2,2,2,3,2,4,3,5,3,4,2,2,2,2,5,1,1,1,5,5,5,3,5,5,5,5,5,4,4,3,5,使用している,使用している,使用している,3,5,5
6/17/2017 8:42:49,女,10代,3,1,2,4,2,3,2,4,3,4,2,1,4,3,3,1,2,2,5,3,3,4,1,3,4,3,1,2,4,1,4,使用していない,使用している,使用していない,4,3,2
6/17/2017 9:48:20,女,20代,2,1,4,2,3,2,3,2,4,3,4,1,5,2,4,1,2,2,5,5,5,4,3,4,5,4,3,3,5,3,3,使用している,使用している,使用していない,3,5,2
6/17/2017 10:33:01,女,20代,5,3,2,2,4,3,3,4,1,3,2,1,1,1,2,1,1,1,5,3,5,3,4,3,5,4,1,4,4,1,1,使用している,使用している,使用している,2,4,3
6/17/2017 11:58:53,男,20代,2,1,2,2,2,1,3,4,3,3,2,1,1,1,3,1,1,1,5,2,5,3,3,2,4,3,2,1,2,2,2,使用している,使用している,使用していない,3,4,2
6/17/2017 12:07:25,女,20代,2,1,5,5,4,5,4,5,2,3,3,1,1,1,5,1,1,1,5,4,5,5,3,3,1,2,2,3,5,1,1,使用していない,使用している,使用していない,4,5,3
6/17/2017 12:09:03,女,20代,1,5,2,4,3,2,4,4,4,5,4,1,1,1,1,1,4,2,5,5,5,5,5,5,4,4,2,2,2,2,4,使用している,使用している,使用している,1,5,2
6/17/2017 12:21:12,女,10代,3,2,4,5,4,4,5,5,4,3,2,1,4,2,4,1,1,2,5,4,5,3,4,5,5,4,2,4,1,5,5,使用している,使用している,使用している,1,4,3
6/17/2017 12:31:03,女,10代,4,2,1,2,2,2,3,5,2,5,2,1,5,1,2,1,1,2,5,1,5,1,5,3,5,1,1,2,1,3,2,使用していない,使用している,使用している,2,3,4
6/17/2017 13:15:13,女,20代,3,1,4,2,3,3,4,2,5,2,2,1,3,2,4,2,2,1,5,4,5,4,3,3,4,4,4,3,4,3,3,使用している,使用している,使用している,2,4,4
6/17/2017 13:56:44,女,20代,3,1,2,2,4,1,4,5,4,2,3,4,4,2,4,1,1,4,5,5,5,3,2,2,4,5,5,4,2,2,2,使用していない,使用している,使用している,2,4,5
6/17/2017 14:44:16,男,20代,4,1,2,4,3,4,4,3,5,4,3,2,2,3,4,1,2,2,3,3,5,3,3,2,4,3,3,4,3,3,2,使用している,使用している,使用していない,3,2,1
6/17/2017 15:16:03,女,20代,4,1,3,3,2,2,4,4,2,4,2,1,1,1,4,1,1,1,5,4,5,2,2,2,4,4,3,3,4,2,1,使用している,使用している,使用している,1,3,2
6/17/2017 15:17:37,女,20代,1,3,1,4,2,4,3,5,2,4,5,2,4,2,5,1,5,2,5,5,4,1,4,5,5,5,2,5,4,1,5,使用していない,使用している,使用していない,1,5,2
6/17/2017 20:22:53,女,20代,3,4,2,5,5,2,4,5,4,1,5,2,5,1,5,1,1,1,5,1,5,5,2,1,5,5,1,5,5,1,2,使用している,使用している,使用している,2,4,3
6/17/2017 21:19:51,男,20代,3,1,3,3,3,3,5,1,5,2,2,4,2,4,1,1,1,1,5,1,5,4,1,1,5,5,1,5,3,1,1,使用している,使用している,使用している,5,5,3
6/17/2017 21:21:09,女,20代,3,2,2,4,2,3,4,4,3,2,2,2,4,3,4,2,2,2,4,4,4,3,1,4,5,4,4,2,4,3,3,使用していない,使用している,使用している,2,3,4
6/17/2017 21:22:53,男,20代,2,2,2,4,2,4,4,4,2,4,4,2,2,2,2,2,2,2,4,2,4,4,2,2,4,4,2,4,4,2,4,使用している,使用している,使用していない,3,4,2
6/17/2017 22:22:42,女,20代,3,2,2,4,2,3,4,4,3,2,2,2,4,3,4,2,2,2,4,4,4,3,1,4,5,4,4,2,4,3,3,使用していない,使用している,使用している,2,3,4
6/18/2017 0:03:01,男,20代,4,5,2,5,2,1,4,5,1,2,3,4,2,1,1,2,5,1,5,5,5,5,5,5,5,4,4,5,4,2,5,使用している,使用している,使用していない,2,5,1
6/18/2017 10:26:24,男,20代,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,使用している,使用している,使用している,4,4,4
6/18/2017 11:35:47,女,20代,4,3,4,5,2,3,4,4,3,3,4,3,4,2,2,1,1,2,4,4,5,4,3,4,5,3,4,4,4,1,2,使用している,使用している,使用していない,4,5,2
6/18/2017 21:49:52,女,20代,4,2,2,2,3,2,3,4,3,2,3,4,3,4,4,2,2,3,4,2,2,2,1,2,4,4,4,4,4,2,4,使用している,使用している,使用している,3,4,5
6/18/2017 21:50:06,女,20代,4,4,2,4,3,2,3,4,1,2,3,3,3,3,3,3,3,2,5,4,4,4,2,3,3,3,3,3,3,3,3,使用していない,使用している,使用していない,3,2,3
6/18/2017 21:51:57,女,20代,1,1,1,3,5,3,4,5,3,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,5,3,5,1,5,使用している,使用している,使用している,1,5,3
6/18/2017 21:59:53,女,20代,3,2,2,3,4,3,4,4,3,3,2,1,1,2,2,1,1,2,5,3,5,3,3,3,4,3,2,3,3,2,3,使用している,使用している,使用している,1,5,3
6/18/2017 22:22:43,男,20代,5,3,2,4,5,1,4,4,2,3,1,2,3,4,5,1,2,2,5,4,4,4,4,3,5,4,4,3,2,2,2,使用している,使用している,使用している,3,2,4
6/19/2017 1:18:52,男,20代,5,3,1,1,2,1,3,4,3,4,2,1,5,2,3,1,1,1,1,3,2,2,2,3,2,2,2,3,2,3,3,使用している,使用している,使用していない,4,4,4
6/19/2017 1:23:04,男,10代,2,2,3,4,3,4,4,4,3,4,2,3,3,4,4,3,3,2,5,3,5,4,2,3,4,3,4,3,4,1,3,使用していない,使用している,使用していない,2,5,3
6/19/2017 9:20:24,女,20代,3,2,3,4,3,3,3,4,3,4,1,1,1,1,1,1,1,2,5,4,5,5,4,3,1,1,1,1,1,1,1,使用していない,使用している,使用していない,1,5,1
6/19/2017 11:02:35,男,20代,4,1,2,1,3,1,5,2,5,4,1,1,1,1,1,3,3,4,4,2,5,1,1,2,5,3,5,1,5,1,4,使用している,使用している,使用している,1,4,3
6/19/2017 13:46:06,男,20代,4,1,2,4,4,3,3,2,2,3,2,2,5,5,5,1,3,2,4,4,4,4,4,5,5,3,5,4,4,3,3,使用している,使用している,使用している,5,3,3
6/19/2017 13:47:56,男,20代,4,1,4,3,4,2,5,1,4,4,4,3,2,2,4,4,4,3,4,4,3,4,4,3,3,4,2,3,3,4,4,使用していない,使用している,使用している,1,5,1
6/19/2017 13:49:14,男,20代,3,2,1,2,5,3,4,5,5,1,1,1,2,3,3,2,2,1,5,4,5,4,2,3,4,3,3,3,4,2,2,使用している,使用している,使用している,3,4,3
6/19/2017 13:49:42,男,20代,1,3,1,5,3,5,2,5,2,5,2,1,1,2,2,1,2,4,2,2,5,5,1,5,5,1,1,5,5,5,4,使用していない,使用していない,使用していない,5,4,5
6/19/2017 13:50:09,男,20代,3,4,3,4,4,2,5,3,4,2,4,1,4,3,2,1,1,1,5,4,4,4,4,4,5,4,2,4,3,3,3,使用している,使用している,使用していない,4,5,2
6/19/2017 13:50:23,女,20代,4,2,4,4,5,3,4,2,3,2,3,3,3,3,3,3,2,3,4,3,4,3,3,3,5,5,4,3,3,4,3,使用している,使用していない,使用している,2,2,4
6/19/2017 13:50:54,男,20代,4,2,2,5,3,2,4,3,2,3,2,1,1,2,2,2,1,2,2,2,2,3,2,2,4,3,2,2,2,3,2,使用していない,使用している,使用している,1,3,4
6/19/2017 13:52:07,男,20代,3,2,2,2,2,4,5,3,3,2,1,1,2,3,1,2,3,1,1,2,2,3,3,2,3,2,3,3,1,3,2,使用している,使用している,使用している,2,3,4
6/19/2017 13:52:21,男,20代,2,2,4,4,2,4,4,2,4,4,3,2,3,4,4,3,3,2,4,3,5,4,3,3,4,2,2,3,3,3,3,使用していない,使用していない,使用していない,2,3,1
6/19/2017 13:56:17,男,20代,3,2,5,4,4,3,4,3,3,2,4,2,2,4,4,1,4,2,4,3,5,4,5,2,5,2,4,2,4,4,5,使用している,使用している,使用していない,4,5,1
2017/6/19 14:02,男,20代,4,1,4,1,4,2,4,3,5,2,3,3,4,3,4,1,4,2,5,4,4,2,4,4,4,2,4,2,3,2,4,使用している,使用している,使用していない,4,2,1
2017/6/19 14:08,男,20代,4,1,3,4,5,2,4,3,4,3,3,3,4,2,2,1,1,2,5,5,5,5,5,5,5,1,1,2,4,3,3,使用している,使用している,使用していない,4,5,1
2017/6/19 14:27,男,20代,3,2,1,2,5,2,3,5,1,3,2,1,2,2,2,1,1,1,5,5,5,3,1,3,5,2,1,2,3,2,4,使用している,使用している,使用している,2,5,2
2017/6/19 15:06,男,20代,1,4,1,5,4,2,2,5,1,5,3,1,1,1,3,1,1,1,5,1,5,5,5,3,5,1,1,1,4,1,1,使用していない,使用している,使用していない,3,3,3
